iter	Passed	Remaining
0	2	1326
1	4	1241
2	6	1149
3	10	1295
4	12	1257
5	14	1215
6	17	1235
7	19	1182
8	21	1155
9	23	1137
10	25	1118
11	27	1098
12	28	1081
13	30	1071
14	32	1065
15	35	1060
16	37	1061
17	39	1054
18	41	1049
19	43	1037
20	45	1028
21	47	1029
22	49	1027
23	51	1019
24	53	1009
25	54	998
26	56	987
27	57	977
28	59	966
29	61	969
30	63	965
31	66	972
32	68	967
33	70	961
34	72	959
35	74	954
36	76	953
37	78	949
38	79	944
39	82	944
40	83	937
41	86	937
42	87	931
43	89	924
44	91	924
45	93	923
46	95	919
47	97	914
48	98	909
49	100	902
50	101	896
51	103	891
52	105	891
53	107	887
54	109	882
55	110	876
56	112	872
57	113	861
58	114	856
59	116	854
60	118	852
61	120	853
62	122	850
63	124	846
64	125	842
65	127	838
66	129	834
67	130	830
68	132	829
69	134	827
70	136	825
71	138	823
72	140	821
73	142	819
74	144	817
75	145	813
76	147	809
77	149	806
78	150	804
79	153	803
80	154	801
81	156	799
82	158	798
83	160	795
84	162	793
85	164	793
86	166	792
87	168	790
88	170	789
89	173	788
90	175	786
91	176	784
92	179	785
93	181	785
94	184	784
95	185	782
96	188	783
97	190	781
98	192	780
99	195	780
100	197	778
101	199	776
102	200	774
103	202	772
104	205	771
105	207	770
106	209	769
107	212	770
108	214	768
109	215	765
110	217	763
111	220	762
112	222	760
113	224	759
114	226	758
115	228	755
116	230	754
117	233	755
118	235	754
119	237	752
120	239	750
121	241	749
122	244	748
123	246	746
124	248	745
125	250	742
126	252	740
127	254	739
128	256	737
129	258	736
130	260	734
131	262	732
132	264	730
133	266	727
134	272	737
135	274	734
136	276	732
137	278	729
138	279	726
139	280	722
140	282	719
141	285	720
142	287	718
143	290	717
144	292	715
145	293	712
146	295	710
147	297	707
148	300	706
149	302	704
150	304	702
151	305	700
152	307	698
153	309	695
154	311	693
155	313	692
156	316	690
157	318	688
158	319	685
159	322	684
160	324	682
161	325	680
162	328	679
163	330	677
164	332	674
165	334	672
166	336	670
167	338	668
168	339	665
169	341	663
170	344	662
171	346	660
172	348	658
173	349	655
174	351	652
175	353	650
176	355	648
177	356	645
178	358	643
179	361	642
180	363	640
181	365	638
182	367	636
183	369	634
184	371	631
185	373	630
186	375	628
187	377	626
188	379	624
189	381	622
190	383	620
191	385	617
192	387	615
193	389	613
194	391	612
195	393	609
196	395	608
197	397	606
198	399	604
199	401	601
200	403	599
201	405	597
202	407	595
203	409	593
204	411	591
205	413	589
206	414	587
207	416	584
208	419	583
209	421	581
210	423	579
211	425	577
212	427	575
213	428	573
214	430	570
215	433	569
216	435	568
217	438	567
218	440	564
219	441	562
220	443	560
221	445	558
222	447	556
223	449	554
224	452	552
225	453	550
226	455	548
227	458	547
228	460	544
229	462	542
230	464	540
231	466	538
232	468	537
233	470	534
234	472	532
235	474	530
236	476	528
237	478	526
238	480	524
239	482	522
240	484	520
241	486	519
242	488	516
243	490	514
244	492	512
245	494	510
246	496	509
247	498	506
248	500	504
249	502	502
250	504	500
251	506	498
252	509	497
253	511	494
254	513	493
255	515	490
256	517	488
257	518	486
258	520	484
259	523	483
260	525	481
261	527	479
262	529	477
263	532	475
264	534	473
265	536	471
266	538	470
267	541	468
268	543	466
269	545	464
270	546	462
271	548	459
272	550	457
273	552	455
274	554	453
275	556	451
276	558	449
277	560	447
278	562	445
279	563	442
280	565	440
281	567	439
282	569	437
283	572	435
284	574	433
285	576	431
286	578	429
287	580	427
288	582	425
289	584	423
290	587	421
291	589	419
292	590	417
293	592	415
294	593	412
295	596	410
296	598	409
297	600	407
298	602	405
299	604	403
300	606	401
301	608	398
302	610	396
303	612	394
304	614	392
305	616	391
306	618	388
307	620	386
308	622	384
309	623	382
310	625	380
311	627	378
312	629	376
313	632	374
314	634	372
315	635	370
316	637	368
317	640	366
318	642	364
319	644	362
320	646	360
321	648	358
322	650	356
323	651	354
324	653	351
325	655	350
326	658	348
327	660	346
328	662	344
329	664	342
330	666	340
331	668	338
332	670	336
333	672	334
334	674	332
335	676	330
336	679	328
337	681	326
338	683	324
339	685	322
340	687	320
341	689	318
342	691	316
343	693	314
344	695	312
345	697	310
346	700	308
347	702	306
348	704	304
349	706	302
350	708	300
351	710	298
352	711	296
353	713	294
354	716	292
355	718	290
356	720	288
357	722	286
358	724	284
359	727	282
360	729	280
361	732	279
362	734	277
363	736	275
364	738	272
365	739	270
366	741	268
367	743	266
368	745	264
369	747	262
370	749	260
371	751	258
372	753	256
373	755	254
374	756	252
375	758	250
376	760	248
377	762	246
378	764	244
379	766	242
380	768	239
381	770	237
382	771	235
383	773	233
384	775	231
385	778	229
386	780	227
387	782	225
388	783	223
389	785	221
390	786	219
391	788	217
392	791	215
393	794	213
394	795	211
395	797	209
396	799	207
397	801	205
398	802	203
399	805	201
400	807	199
401	809	197
402	811	195
403	813	193
404	814	191
405	816	189
406	818	187
407	820	185
408	822	183
409	825	181
410	827	179
411	829	177
412	831	175
413	833	173
414	835	171
415	837	169
416	839	167
417	841	165
418	843	163
419	845	161
420	846	158
421	848	156
422	851	155
423	853	153
424	855	150
425	857	148
