O*NET-SOC Code,Title,Description,Skills,Job Zone,Date,Domain Source
11-3012.00,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2017,Analyst
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2024,Analyst
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2011,Analyst
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,"Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2016,Analyst
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2017,Analyst
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,08/2023,Analyst
11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",2,07/2016,Analyst
11-9171.00,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2024,Analyst
11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,07/2012,Analyst
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.","Reading Comprehension, Reading Comprehension, Active Listening, Active Listening, Writing, Writing, Speaking, Speaking, Mathematics, Mathematics, Science, Science, Critical Thinking, Critical Thinking, Active Learning, Active Learning, Learning Strategies, Learning Strategies, Monitoring, Monitoring, Social Perceptiveness, Social Perceptiveness, Coordination, Coordination, Persuasion, Persuasion, Negotiation, Negotiation, Instructing, Instructing, Service Orientation, Service Orientation, Complex Problem Solving, Complex Problem Solving, Operations Analysis, Operations Analysis, Technology Design, Technology Design, Equipment Selection, Equipment Selection, Installation, Installation, Programming, Programming, Operations Monitoring, Operations Monitoring, Operation and Control, Operation and Control, Equipment Maintenance, Equipment Maintenance, Troubleshooting, Troubleshooting, Repairing, Repairing, Quality Control Analysis, Quality Control Analysis, Judgment and Decision Making, Judgment and Decision Making, Systems Analysis, Systems Analysis, Systems Evaluation, Systems Evaluation, Time Management, Time Management, Management of Financial Resources, Management of Financial Resources, Management of Material Resources, Management of Material Resources, Management of Personnel Resources, Management of Personnel Resources",3,08/2021,Analyst
